statement,occurences,proposed label
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anteriorer infarkt alter unbest t abnorm in lateralen ableitungen xxxx unbestätigter bericht ,6,
 supraventrikuläre extrasystole ( n ) sinustachykardie lagetyp normal periphere niederspannung qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen t abnorm in lateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i lagetyp normal st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 tachykardes vorhofflimmern extrem ueberdrehter rechtstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block qrs ( t ) abnorm anteroseptaler myokardschaden möglich xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) bigeminus sinus arrhythmie ueberdrehter linkstyp rechtsschenkelblock xxxx unbestätigter bericht ,1,
 sinustachykardie ueberdrehter linkstyp rechtsschenkelblock qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern extrem ueberdrehter rechtstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block qrs ( t ) abnorm anteroseptaler myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp qrs ( t ) abnorm anteriorer infarkt alter unbest t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich t abnorm in anterolateralen ableitungen xxxx unbestätigter bericht ,2,
 sinusrhythmus linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden möglich xxxx unbestätigter bericht ,12,
 sinusbradykardie linkstyp qrs ( t ) abnorm anteroseptaler infarkt alter unbest inferiorer infarkt wahrscheinlich alt t abnorm in anterioren ableitungen lateralen ableitungen xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern lagetyp normal periphere niederspannung unspezifischer intraventrikulärer block ,1,
 sinusrhythmus lagetyp normal st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung t abnorm in lateralen ableitungen xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block qrs ( t ) abnorm anteroseptaler myokardschaden möglich xxxx unbestätigter bericht ,3,
 sinusrhythmus linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,4,
 sinusrhythmus lagetyp normal periphere niederspannung qrs ( t ) abnormal anteroseptaler infarkt wahrscheinlich alt ,1,
 sinustachykardie lagetyp normal grenzbefund ,1,
 sinusrhythmus linkstyp schenkelblock partiell st - hebung v1 st - senkung i avl v5 + v6 ecg pathologisch ,1,
 sinusrhythmus linkstyp unspezifische intraventrikuläre leitungsstörung st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnorm lateraler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unspezifische intraventrikuläre leitungsstörung linkshypertrophie xxxx unbestätigter bericht ,3,
 ventrikuläre extrasystole ( n ) vorhofflimmern - flattern lagetyp normal unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern lagetyp normal periphere niederspannung qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen qt - verlängerung xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,5,
 ventrikuläre extrasystole ( n ) sinus arrhythmie lagetyp normal qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,1,
 sinusrhythmus av block i verdacht auf p - sinistrocardiale ueberdrehter linkstyp linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,2,
 tachykardes vorhofflimmern lagetyp normal t abnorm in inferioren ableitungen xxxx unbestätigter bericht ,2,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm septaler infarkt nicht auszuschliessen inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinustachykardie lagetyp normal linkshypertrophie möglich qrs ( t ) abnormal anteroseptaler infarkt wahrscheinlich alt hochlateraler infarkt möglich ,1,
 vorhofflimmern - flattern lagetyp normal t abnorm in inferolateralen ableitungen qt - verlängerung xxxx unbestätigter bericht ,1,
 sinustachykardie p - dextrocardiale lagetyp normal rechtsschenkelblock qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinustachykardie lagetyp normal qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,2,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qt - verlängerung ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,13,
 sinusrhythmus ueberdrehter linkstyp r - s übergang in v ableitungen nach links verschoben linkshypertrophie qrs ( t ) abnorm inferiorer infarkt mögl akut xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp unvollständiger rechtsschenkelblock qrs ( t ) abnorm anteroseptaler myokardschaden möglich ,3,
 supraventrikuläre tachykardie bei vorhofflattern xxxx ! ueberdrehter linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorere ischaemie xxxx überleitung ,1,
 tachykardes vorhofflimmern lagetyp normal st and t abnormal pathologisch ,1,
 sinusrhythmus p - verbreiterung lagetyp normal qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal periphere niederspannung qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern linkstyp unspezifische abnorme st - senkung xxxx unbestätigter bericht ,1,
 supraventrikuläre arrhythmie linkstyp qrs ( t ) abnorm inferiorer infarkt alter unbest st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,2,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anterolateraler myokardschaden möglich inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus p - verbreiterung linkstyp linkshypertrophie möglich qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen qt - verlängerung xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm anteroseptaler infarkt mögl akut xxxx unbestätigter bericht ,1,
 supraventrikuläre arrhythmie lagetyp normal mässige amplitudenkriterien für linkshypertrophie t abnorm in anterolateralen ableitungen inferolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i ueberdrehter linkstyp periphere niederspannung qrs ( t ) abnorm anteriorer infarkt wahrscheinlich alt inferolateraler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal unspezifischer intraventrikulärer block xxxx unbestätigter bericht ,2,
 ventrikuläre extrasystole ( n ) sinus arrhythmie lagetyp normal unspezifischer intraventrikulärer block qrs ( t ) abnormal inferiorer infarkt alter unbest ,1,
 sinusrhythmus av block i p - verbreiterung ueberdrehter linkstyp linkshypertrophie qrs ( t ) abnormal anteroseptaler myokardschaden möglich ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus verdacht auf p - sinistrocardiale linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i linkstyp unvollständiger linksschenkelblock qrs ( t ) abnorm anteroseptaler myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinustachykardie p - sinistrocardiale lagetyp normal unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinustachykardie lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,2,
 sinus arrhythmie av block i lagetyp normal unspezifische intraventrikuläre leitungsstörung linkshypertrophie xxxx unbestätigter bericht ,1,
 tachykardes vorhofflimmern lagetyp normal linkshypertrophie xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,3,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden möglich xxxx unbestätigter bericht ,3,
 sinustachykardie ueberdrehter linkstyp qrs ( t ) abnormal anteroseptaler infarkt wahrscheinlich alt t abnormal in hochlateralen ableitungen ,2,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block qrs ( t ) abnorm anteroseptaler infarkt mögl akut xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,4,
 sinusrhythmus lagetyp normal st - senkung iii v4 slt linksventr hypertrophie ,1,
 vorhofflimmern - flattern lagetyp normal periphere niederspannung t abnorm in inferioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt alter unbest xxxx unbestätigter bericht ,3,
 sinustachykardie lagetyp normal qrs ( t ) abnorm lateraler myokardschaden nicht auszuschliessen inferiorer myokardschaden nicht auszuschliessen t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i lagetyp normal qrs ( t ) abnorm lateraler myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinus arrhythmie p - sinistrocardiale linkstyp periphere niederspannung unvollständiger rechtsschenkelblock t abnorm in anteroseptalen ableitungen xxxx unbestätigter bericht ,1,
 sinus arrhythmie av block i linkstyp ,2,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock t abnorm in anteroseptalen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,6,
 supraventrikuläre extrasystole ( n ) sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block linkshypertrophie xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp unspezifisches abnormes t qt - verlängerung xxxx unbestätigter bericht ,5,
 sinusrhythmus lagetyp normal linkshypertrophie möglich qrs ( t ) abnormal hochlateraler infarkt möglich ,4,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block qrs ( t ) abnorm anteriorer infarkt alter unbest inferiorer infarkt wahrscheinlich alt xxxx ,1,
 sinusrhythmus ueberdrehter linkstyp xxxx grad links ant fascicular block pathologisches ecg ,1,
 sinusrhythmus lagetyp normal mässige amplitudenkriterien für linkshypertrophie unspezifische abnorme st - senkung unspezifisches abnormes t xxxx unbestätigter bericht ,2,
 llt tachykardes vorhofflimmern subakuter posteriorer infarkt möglich st - senkung desz - muldenf in v2 - v6 neg t - veraenderungen in v1 - v6 pathologisches ecg ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus av block i linkstyp st and t abnorm wahrscheinlich anteroseptale ischämie oder linksbelastung hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal t überhöht in v3 - xxxx normales ecg ,1,
 vorhofflimmern - flattern rechtstyp st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung xxxx unbestätigter bericht ,2,
 sinusrhythmus av block i p - verbreiterung ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block qrs ( t ) abnorm anteroseptaler myokardschaden möglich xxxx unbestätigter bericht ,4,
 sinusrhythmus av block i ueberdrehter linkstyp rechtsschenkelblock qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 supraventrikuläre arrhythmie lagetyp normal unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp linksschenkelblock xxxx unbestätigter bericht ,4,
 tachykardes vorhofflimmern lagetyp normal st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung laterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung ,1,
 supraventrikuläre arrhythmie verdacht auf p - sinistrocardiale lagetyp normal mässige amplitudenkriterien für linkshypertrophie qt - verlängerung xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i p - sinistrocardiale unspezifischer intraventrikulärer block ,1,
 sinusrhythmus av block i linkstyp mässige amplitudenkriterien für linkshypertrophie xxxx unbestätigter bericht ,2,
 sinusrhythmus lagetyp normal rechtsschenkelblock linkshypertrophie möglich ,1,
 sinusrhythmus linkstyp sonst normales ecg xxxx unbestätigter bericht edit norm xxxx sokolow xxxx schlechte r - progression v1 - xxxx ( norm xxxx ) ,1,
 tachykardes vorhofflimmern lagetyp normal r - s übergang in v ableitungen nach rechts verschoben unvollständiger rechtsschenkelblock mässige amplitudenkriterien für linkshypertrophie st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung ,1,
 g tachykardes vorhofflimmern lagetyp normal linksschenkelblock linkshypertrophie möglich ,1,
 sinusrhythmus lagetyp normal r - s übergang in v ableitungen nach rechts verschoben unvollständiger rechtsschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler infarkt alter unbest t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,2,
 sinusrhythmus lagetyp normal unspezifischer intraventrikulärer block linkshypertrophie qrs ( t ) abnormal hochlateraler infarkt möglich ,1,
 vorhofflimmern - flattern ueberdrehter linkstyp unspezifisches abnormales t ,1,
 sinusrhythmus schwierig bestimmbare qrs - achse niederspannungs - ecg qrs ( t ) abnormal anteroseptaler infarkt alter unbest hochlateraler infarkt möglich st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung inferiore ischämie ,1,
 sinusrhythmus lagetyp normal unspezifische abnorme st - senkung unspezifisches abnormes t xxxx unbestätigter bericht ,7,
 vorhofflimmern - flattern lagetyp normal qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,7,
 supraventrikuläre arrhythmie lagetyp normal linkshypertrophie möglich qrs ( t ) abnorm anteroseptaler infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus schwierig bestimmbare qrs - achse t abnormal in hochlateralen ableitungen ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich qt - verlängerung xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt mögl akut xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock qrs ( t ) abnorm lateraler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp st and t abnormal wahrscheinlich hochlaterale ischämie oder linksbelastung edit iscin xxxx ( f xxxx ) ( norm xxxx ) ,1,
 tachykardes vorhofflimmern lagetyp normal periphere niederspannung linksschenkelblock linkshypertrophie möglich ,1,
 supraventrikuläre tachykardie av block i p - sinistrocardiale linkstyp linksschenkelblock linkshypertrophie möglich ,1,
 tachykardes vorhofflimmern linkstyp unvollständiger rechtsschenkelblock qrs ( t ) abnormal anterolateraler myokardschaden nicht auszuschliessen st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung inferolaterale ischämie oder links ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm anteroseptaler infarkt alter unbest xxxx unbestätigter bericht ,4,
 beschleunigter av - rhythmus lagetyp normal t abnorm in inferioren ableitungen xxxx unbestätigter bericht ,2,
 sinusrhythmus lagetyp normal t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,15,
 ventrikuläre extrasystole ( n ) tachykardes vorhofflimmern ueberdrehter rechtstyp periphere niederspannung qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung inferola ,1,
